COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Other investment, Debt instruments","Liabilities - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Total financial assets/liabilities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Debt securities","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Total financial assets/liabilities"
Belgium,2019,2,US dollar,5629737000,-10127908100,3338512700,1132689600,9820014300,-128101800,8687324700,3353120800,-9633480100,-40349819600,314636000,-36996698800,186534200
Belgium,2019,3,US dollar,11470798048,20291837300,23510910618,1876958812,10281019655,6048966788,8404060842,-9611630315,-1485555079,19738089973,2746497788,10126459658,8795464576
Belgium,2019,4,US dollar,-22314833575,-40196813725,-22217408225,1132569694,-15784013806,10846319931,-16917690606,-16043076669,19616815644,25254200669,-7012410987,9211124000,3832801837
Belgium,2020,1,US dollar,25902608083,36629293683,26477094431,1397071408,11315506541,-5084369583,9918435133,1971557756,-2882355691,3090758608,13517520433,5062316364,8433150850
Belgium,2020,2,US dollar,-19470777303,-25148560819,-16713940806,-3147838077,24975638994,598067206.5,28123477071,2211637110,-463694832.3,-35487523742,23912775542,-33275886632,24511944161
Belgium,2020,3,US dollar,-21447171800,-38574050,-16090054492,3243726932,-9364142865,12008218656,-12607869797,33898407.58,12142643376,-3120991318,-9229718145,-3087092911,2778500511
Belgium,2020,4,US dollar,-9278364234,-17604795495,-2866535003,6998735274,-3921057243,11868146794,-10919792517,4023646511,14412599212,5100833822,-1376604825,9124480332,10491541969
Belgium,2021,1,US dollar,-12678611495,26088565495,597604419,5150723571,19952276571,11485812352,14801553000,10925558210,-14290697610,14790709371,-5825438238,25716267581,5661578962
Belgium,2021,2,US dollar,7298976422,6416298289,4934315467,5095898622,18557946000,13399343467,13462047378,3662149578,-1336075644,1064760644,3822526889,4726910222,17221870356
Belgium,2021,3,US dollar,11402517744,-7519555535,9261819695,5231507676,9861828124,5924641185,4630320448,15313771117,-711994284.8,5257441242,3225192655,20571212359,9149833839
