COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",CS1_GROUP,CS2_GROUP,CS3_GROUP
Germany,1999,1,"US dollar, Nominal (Current Prices), % of GDP",2216072000000,5.1588531832900735,9.765622831749148,7.840112564754214,-2.5359005140462583,4.5515005597291065,4.692406368385143,7.4850137307813105,2.436496274308777,7.574092115599132,3.433971732687385,7.433388757946492,5.870468006996163,12.125795126331637,-3.276262501527842,-0.3156209132967871,6.418704975031838,Eurozone,NA,NA
Germany,1999,2,"US dollar, Nominal (Current Prices), % of GDP",2216072000000,-0.04502223837492645,2.747691946471053,-1.6036310838276011,3.613606946344704,9.142948290127755,1.705121892429488,5.529532115924032,5.056226296438022,-2.2864047752961096,3.5380611564967204,5.151421622582659,8.59447822525622,6.856543515012148,-5.854989483263067,0.15128235183694283,-2.933885610214809,Eurozone,NA,NA
Germany,1999,3,"US dollar, Nominal (Current Prices), % of GDP",2216072000000,3.178908579324138,3.1857221485583502,5.835254251666913,2.1131527916060486,10.639577625095214,3.737053459093387,8.526424833308665,0.322698209624958,-3.193292781100975,0.2963902616882484,3.709042119028624,0.6192777370049349,7.446284843994238,1.524914647779242,-0.7850745884309661,-2.1305652463759372,Eurozone,NA,NA
Germany,1999,4,"US dollar, Nominal (Current Prices), % of GDP",2216072000000,0.06332690273601219,2.983296663465808,0.9759462613128094,2.391433687894617,7.769161762614211,5.669069298831446,5.377728074719594,1.816807620871524,0.1382699828886426,8.260975726059442,2.2385498043384873,10.077783346930966,7.907431745538954,-4.0004616189921665,1.3285534535534584,-0.7164558463387991,Eurozone,NA,NA
Germany,2000,1,"US dollar, Nominal (Current Prices), % of GDP",1967850000000,4.471255432883604,15.677365679091391,6.219334040297786,-2.5359005140462583,-10.44819897210291,12.236951278603552,0.9592576344741724,-26.07027974693193,31.958514752434038,34.3351373326219,5.782013617907869,8.26517552110171,18.018964896308155,-14.174515350880664,0.7232529865276562,-4.497723243915128,Eurozone,NA,NA
Germany,2000,2,"US dollar, Nominal (Current Prices), % of GDP",1967850000000,1.6330319719490811,1.3060082618085729,3.2357137153746476,8.505841172040551,16.083534424676678,4.860399374545824,7.577693252636125,-0.4023302139898874,-9.5629775617044,9.286790484030796,1.6601574884264552,8.884460270040908,6.520556862769011,2.0298612069665647,-0.04988818777985298,-7.985524445461026,Eurozone,NA,NA
Germany,2000,3,"US dollar, Nominal (Current Prices), % of GDP",1967850000000,5.782743426785578,0.6202828170846355,5.031448635211017,1.6352576076428589,5.201469793124476,6.609664512437432,3.566212185481617,-6.316911631475976,4.805121769443809,9.607851466117843,3.3967430444393627,3.290755829153645,10.006407556876791,3.22506583639715,1.0298792426721546,2.7429712114550275,Eurozone,NA,NA
Germany,2000,4,"US dollar, Nominal (Current Prices), % of GDP",1967850000000,6.884462070584648,4.739311273115329,1.6747849199888205,2.140914857128338,4.031556237924638,2.2720525107096576,1.8906413807963005,2.332767655868079,0.42024058317453056,-2.8179593247452805,2.1795678129938767,-0.4851916686739335,4.451796821302437,-3.68650359610102,0.6218007453949297,-0.3116946115150285,Eurozone,NA,NA
Germany,2001,1,"US dollar, Nominal (Current Prices), % of GDP",1966395000000,13.203369156451272,24.63391129452628,15.402490893233557,-0.17183572922022278,1.0112955211948769,2.175646910412201,1.1831312504354414,1.8537600907243963,7.613355696693695,5.149625716704934,6.449004307476372,7.003385807632749,8.624651217685155,-11.681449211628406,-0.7014278126978569,-2.9155734383224163,Eurozone,NA,NA
Germany,2001,2,"US dollar, Nominal (Current Prices), % of GDP",1966395000000,1.751429408028397,-4.394192266558855,-1.723031687733136,12.367384737247605,14.733269821373629,3.0891395264939137,2.3658850841260275,4.236584918086143,-6.506805181461507,2.549760324044762,5.137147627612967,6.7863452421309045,8.22628715410688,-0.08057853174742959,-1.5063215835692398,-3.8572978644645066,Eurozone,NA,NA
Germany,2001,3,"US dollar, Nominal (Current Prices), % of GDP",1966395000000,6.186636971310444,-1.3850301374850933,8.393304364992792,2.633694206301379,7.193174302009515,-0.764229495294689,4.559661192791886,-2.5684992730351732,-6.701314750088359,2.715912260964862,1.2562701442995938,0.14723189092730604,0.4918595519211552,8.143752648179024,0.7703867945774548,-0.35567458028916793,Eurozone,NA,NA
Germany,2001,4,"US dollar, Nominal (Current Prices), % of GDP",1966395000000,2.177196499177429,-8.096466565873083,-0.6383794539754221,0.811687721337778,5.210546773359371,1.1242257639996034,4.399041290076511,-0.8175193350267876,0.16911679510983296,1.169056293776174,4.255437804510284,0.35153695874938656,5.379663568509888,6.578242406285846,0.2073867595188877,6.137408863863887,Eurozone,NA,NA
Germany,2002,1,"US dollar, Nominal (Current Prices), % of GDP",2100865000000,0.3449865711504547,2.3212739390679555,4.097946435777644,1.0029145168299725,4.86602974527159,1.9175378406513504,3.8629483263322486,-2.068250406570627,0.2079599747722962,1.942573150583212,3.1562849772831663,-0.1256772559874147,5.073822817744119,-0.5105534210447457,-0.2800616673792361,-2.650905520252924,Eurozone,NA,NA
Germany,2002,2,"US dollar, Nominal (Current Prices), % of GDP",2100865000000,9.357932772834047,0.9679473946207872,10.12714742927318,1.4373135359006886,9.593403077113477,0.1906854618454779,8.156089541212786,-2.776310347404521,-6.435196983718611,4.14119839608923,2.9675206315493856,1.3650629893877049,3.1583810342882574,7.431134904787648,-0.2459667516392351,-2.0263391779781372,Eurozone,NA,NA
Germany,2002,3,"US dollar, Nominal (Current Prices), % of GDP",2100865000000,8.754405840832229,5.3269283063880835,12.494681204741855,0.016857368057443,7.880444959004981,-0.9653652774452428,7.863587591016081,1.7683379093849438,-6.796703496892946,1.5038645348463608,2.0489194353754288,3.2723897482227557,1.083554157930186,4.8118420601499,0.7183111833660907,0.5016003517742873,Eurozone,NA,NA
