Indicator,Original_Mean,Winsorized_Mean,Original_SD,Winsorized_SD,Original_Min,Winsorized_Min,Original_Max,Winsorized_Max,N_Observations,N_Lower_Winsorized,N_Upper_Winsorized,Pct_Data_Affected,Dataset
eurozone_pgdp_simple,-0.4961080249571094,-0.42098370409931124,4.975990987180836,4.52523653323491,-15.162569120503209,-9.26320214849992,9.902289610076284,6.953770141173402,81,4,4,9.88,net_other_investment_no_crises.csv
soe_pgdp_weighted,4.78629880980305,5.258628102440483,16.491327912818416,14.833439277741588,-42.04966232271581,-14.505874926095135,40.76709671966311,34.897165201711374,81,4,4,9.88,net_other_investment_no_crises.csv
soe_pgdp_simple,3.3845181585043487,3.587807022673608,12.655556290675543,11.468841786532385,-27.66382566341768,-14.862213064565948,34.14673802638009,24.097527695261025,81,4,4,9.88,net_other_investment_no_crises.csv
baltics_pgdp_weighted,-1.723658701955114,-1.6576790931840133,8.7039543325694,7.915466406662255,-24.802271756911704,-17.176371647859323,16.382680197250703,9.94885091005004,81,4,4,9.88,net_other_investment_no_crises.csv
baltics_pgdp_simple,-1.8314740618506906,-1.8336407389269118,8.983961343846136,8.151650992810534,-26.38848291574855,-17.77462324861709,18.7032048094848,10.701679751979324,81,4,4,9.88,net_other_investment_no_crises.csv
iceland_pgdp,-6.420441309058725,-7.637675534377748,31.115323374288234,23.856734973793095,-109.4318051860203,-72.86294387468106,107.7692664040646,20.45187151516641,105,6,6,11.43,net_portfolio_investment_full.csv
eurozone_pgdp_weighted,-0.4160045289883542,-0.5215735279213363,3.8263374715959944,3.1422395632419535,-9.222463122409644,-6.217330628902513,15.000904048229344,4.0698838785699945,105,6,6,11.43,net_portfolio_investment_full.csv
eurozone_pgdp_simple,-0.47670763707420755,-0.388861121748258,5.601773439724743,4.263247475270558,-24.853836702082894,-8.503442252266439,17.249143128533888,6.998974211440586,105,6,6,11.43,net_portfolio_investment_full.csv
soe_pgdp_weighted,12.16320231389125,12.583205202535714,21.353007833454576,17.67649913851723,-63.85108363108587,-24.039582883299406,62.6728063873743,44.90662352416674,105,6,6,11.43,net_portfolio_investment_full.csv
soe_pgdp_simple,10.84739270001244,11.269382480447412,17.470013012265163,14.588155543124952,-46.52863007655331,-15.26789848119061,60.50595466488933,39.062518049781275,105,6,6,11.43,net_portfolio_investment_full.csv
baltics_pgdp_weighted,0.796025690515631,0.7978900212660491,4.746418520734116,4.131927357320044,-11.29764403771308,-6.261016165910723,14.374484311239092,8.736997239856873,105,6,6,11.43,net_portfolio_investment_full.csv
baltics_pgdp_simple,1.0836208625797077,1.01224862761426,5.042382781520357,4.511719176655013,-10.24978208929338,-6.594159487365822,15.538493186272438,10.064568618423625,105,6,6,11.43,net_portfolio_investment_full.csv
iceland_pgdp,-6.763534613966603,-8.429765243880572,33.02733523158001,24.895815508961334,-109.4318051860203,-73.50922337862696,107.7692664040646,23.29356197023617,81,4,4,9.88,net_portfolio_investment_no_crises.csv
eurozone_pgdp_weighted,-0.007934750615600589,-0.04730890188723472,3.3369127988479845,2.901027230506323,-8.124975504869138,-5.102627948126863,11.649677476773624,4.077750177302642,81,4,4,9.88,net_portfolio_investment_no_crises.csv
eurozone_pgdp_simple,0.06641752991621289,0.08682027567848023,4.790678857517704,4.054970212021502,-16.22969455483627,-7.787501446832917,12.891582844278666,7.1916296422055925,81,4,4,9.88,net_portfolio_investment_no_crises.csv
soe_pgdp_weighted,13.128726006375675,13.245149122998683,18.317849908292175,16.750978156082322,-25.92998272486802,-12.122411330638732,62.6728063873743,51.26960740118069,81,4,4,9.88,net_portfolio_investment_no_crises.csv
soe_pgdp_simple,11.873762506256867,11.87916511950802,15.968130353522298,14.428094148963176,-25.530167014949097,-9.133608885840498,60.50595466488933,41.69632588038366,81,4,4,9.88,net_portfolio_investment_no_crises.csv
baltics_pgdp_weighted,0.6487351716536158,0.5942985241337635,4.70049492623079,4.0549886274325075,-11.29764403771308,-5.84144749866791,14.374484311239092,8.335613040462654,81,4,4,9.88,net_portfolio_investment_no_crises.csv
baltics_pgdp_simple,0.8314748980732264,0.6241933282984574,4.9977451022589126,4.243155473417118,-10.24978208929338,-6.370265010624608,15.538493186272438,7.811646579676069,81,4,4,9.88,net_portfolio_investment_no_crises.csv
