COUNTRY,GROUP,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP"
Portugal,Eurozone,2018,1,"US dollar, Nominal (Current Prices), % of GDP",-5.966335323674769,5.785660316346205,-0.38571068781146395,-0.34307950652964664,0.0182705062612767,3.5363579906111817,0.3613500128404685,-6.102349092290352,11.60786164663526,4.784842584113327,8.089774162995504,-1.3175065071861207,11.624102096175521
Portugal,Eurozone,2018,2,"US dollar, Nominal (Current Prices), % of GDP",1.3931706165489282,5.635650630256437,3.512442868172566,0.0688714287932024,-4.018155930355941,-0.6178751039417348,-4.087027359694141,-1.9992391902660163,6.346010224481118,2.636791844857413,2.943761641267862,0.6375526550868487,2.3278542924736687
Portugal,Eurozone,2018,3,"US dollar, Nominal (Current Prices), % of GDP",-1.0006014814019644,-0.5876853231380289,2.9019363509122513,0.04033134570587482,-1.690075439197698,0.17861024529010788,-1.7304067843916053,-2.3814699372014387,1.3674246733525182,4.07346591578139,-0.5012610108049859,1.690075439197698,-0.3226507656800287
Portugal,Eurozone,2018,4,"US dollar, Nominal (Current Prices), % of GDP",1.1649614992382424,0.7219745213725677,5.012350529101622,-0.19227519890339922,0.9745713513044842,-1.238478487054248,1.1687316011775246,-0.5937910554369682,-1.0914445114222369,2.361968865786138,1.1216053269364954,1.7681778095234164,-0.11687316011775245
Portugal,Eurozone,2019,1,"US dollar, Nominal (Current Prices), % of GDP",0.21377713419560096,-4.239597856268375,-3.7288029349301666,-0.1343201462967744,10.61696705615844,0.08702432012725804,10.751287203404653,-2.9777452157473494,-8.85945415629086,3.2766548358887655,1.6704885792572728,0.2989096213073931,1.7556210675350417
Portugal,Eurozone,2019,2,"US dollar, Nominal (Current Prices), % of GDP",-0.5727481240266176,0.8029704091745717,5.008738496389636,-0.5970805606682713,-4.978790882061447,1.495508990513946,-4.383582047288687,-1.115548633725046,10.247699277927227,4.344275803482939,3.771527679456322,3.2305988956534053,5.267036669970268
Portugal,Eurozone,2019,3,"US dollar, Nominal (Current Prices), % of GDP",2.867115078578508,0.40561899359545606,2.548546736514229,-0.5204517680372447,3.085667778231213,2.04661638363968,3.606119545935322,-3.887645056674801,10.157144114732116,6.651040209542687,11.196195509323651,2.7633951528678864,13.242811891297649
Portugal,Eurozone,2019,4,"US dollar, Nominal (Current Prices), % of GDP",-2.8546451266334087,2.1833978229547517,-0.8943817094885527,-0.43889246778989094,2.437881691665764,3.487166624747025,2.8786182442055117,-7.324709588493475,4.746677360894804,3.741650491792356,3.6973924278135435,-3.583059096701118,7.1845590525605685
Portugal,Eurozone,2020,1,"US dollar, Nominal (Current Prices), % of GDP",2.775936354958921,-0.34987563466777083,4.038948948503934,-0.5209686649377819,7.366612264039925,-0.061516595114084596,7.8856585368404994,-2.7817035360777562,-8.631547251291215,1.3110724334125132,-1.2034183919628654,-1.4706311019678777,-1.26493498707695
Portugal,Eurozone,2020,2,"US dollar, Nominal (Current Prices), % of GDP",-1.5803392148538802,-4.620043925294746,-1.1348486949244885,-0.54918227872818,-4.51059151393641,0.614469682480877,-3.96140923398784,-0.9409067014187025,14.384351224529823,-1.9259784113147513,9.257369810185892,-2.868805329614052,9.873759710593415
Portugal,Eurozone,2020,3,"US dollar, Nominal (Current Prices), % of GDP",0.9985681295355983,-6.152402414627237,0.778475562141783,1.601784795519428,10.197622286050516,2.225380403164295,8.595837489485039,-0.5930271953276526,-6.91253692941356,2.565708724475342,1.0597049538213439,1.972681529845054,3.285085356636956
Portugal,Eurozone,2020,4,"US dollar, Nominal (Current Prices), % of GDP",-1.4849164277464206,-1.499474432061368,-0.15805833125721883,-1.0107414340445007,-8.14832291847364,2.921999412469763,-7.1375814849521655,-7.106385761544665,11.94380258461002,5.311591816418593,0.87348025157452,-1.7968736609497244,3.7954796643929654
Portugal,Eurozone,2021,1,"US dollar, Nominal (Current Prices), % of GDP",-0.5793214844707407,-3.111031608033533,-0.8821486239491697,1.3636625850616253,9.553161750954235,4.508550643572471,8.189499165580386,-0.21818601359737108,-5.266558948740565,-0.07147472859116562,-0.22194784135880047,-0.28966074215731424,4.286602802213671
